# Семантическое ядро whalewzrd.com, версия 2 (23.09.2026)
# Источники: v1 — подсказки Google (KZ, UZ, UA, US, DE, AE) и Яндекса от 10.09; v2 — подсказки Google по 15 рынкам
# без России: KZ, UZ, BY, KG, TJ, AM, AZ, MD, UA, GE, IL, DE, US, AE, TR, с усиленными блоками «приложения», «инфобизнес» и 204 нишами.
# Вывод сбора: по русскоязычным запросам Google отдаёт почти одни и те же подсказки во всех странах; по рынкам различаются
# только запросы с гео-модификатором (колонка geo=1). Значит, страну надо закрывать не отдельными страницами, а упоминанием
# рынков в тексте и FAQ — отдельная страница под страну считается scaled content abuse.
# intent: commercial — готов купить; trust — ищет, кому доверить, или чинит проблему; tool — считает; howto — делает сам;
# definition — разбирается в терминах; informational — изучает тему. page — целевая страница; /blog — нужна статья.
# blocks: v1 | base | apps | infobiz | niche — из какого блока семян пришла фраза. regions — где Google её подсказал.
# Частотности нет и не будет: подсказки её не отдают, а выдуманные числа проекту запрещены.
query;intent;page;geo;blocks;regions;sources
сколько стоит реклама сайта в гугл;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама сайта в гугле;commercial;/calculator;0;v1;;yandex
сколько стоит реклама у блогеров в инстаграм;commercial;/calculator;0;v1;;yandex
сколько стоит таргет;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
сколько стоит таргет в вк;commercial;/calculator;0;v1;;google
сколько стоит таргет в инстаграм;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
сколько стоит таргет в инстаграме;commercial;/calculator;0;base;us;google-v2
сколько стоит таргет вк;commercial;/calculator;0;base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google-v2
сколько стоит таргет реклама;commercial;/calculator;0;v1;;yandex
сколько стоит таргет реклама в вк;commercial;/calculator;0;v1;;yandex
сколько стоит таргет реклама в инстаграм;commercial;/calculator;0;v1;;yandex
сколько стоит таргетированная реклама;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
сколько стоит таргетированная реклама в вк;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
сколько стоит таргетированная реклама в вк в месяц;commercial;/calculator;0;v1;;yandex
сколько стоит таргетированная реклама в инстаграм;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит таргетолог;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит таргетолог в вк;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит таргетолог в месяц;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
стоимость лида;commercial;/calculator;0;v1|base;ae|am|az|by|ge|il|kg|kz|md|tj|tr|us|uz;google|yandex|google-v2
стоимость лида аббревиатура;commercial;/calculator;0;v1;;yandex
стоимость лида в маркетинге;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
стоимость лида в недвижимости;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
стоимость лида как рассчитать;commercial;/calculator;0;base;de|ua;google-v2
стоимость лида метрика;commercial;/calculator;0;v1;;google
стоимость лида формула;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
стоимость лида что это;commercial;/calculator;0;v1;;yandex
стоимость лида это;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
стоимость лида cpl;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
стоимость лидара;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
стоимость рекламы в инстаграм;commercial;/calculator;0;v1;;google|yandex
стоимость рекламы в инстаграм 2025;commercial;/calculator;0;v1;;google
стоимость рекламы в инстаграм у блогеров;commercial;/calculator;0;v1;;google
стоимость рекламы в инстаграм украина;commercial;/calculator;1;v1;;google
стоимость рекламы в инстаграм цены;commercial;/calculator;0;v1;;yandex
стоимость рекламы в инстаграме;commercial;/calculator;0;v1;;google
стоимость рекламы в instagram;commercial;/calculator;0;v1;;google
стоимость таргет рекламы в инстаграм;commercial;/calculator;0;v1;;google
стоимость таргета в вк;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
стоимость таргета в инстаграм;commercial;/calculator;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
стоимость таргетированной рекламы в инстаграм;commercial;/calculator;0;v1;;google
стоимость таргетолога;commercial;/calculator;0;v1;;google
стоимость услуг таргетолога;commercial;/calculator;0;v1;;google
таргетолог стоимость услуг;commercial;/calculator;0;v1;;google
цена лида;commercial;/calculator;0;v1;;google|yandex
цена лида в маркетинге;commercial;/calculator;0;v1;;google
цена лида как посчитать;commercial;/calculator;0;v1;;google|yandex
цена лида метрика;commercial;/calculator;0;v1;;google
цена лида формула;commercial;/calculator;0;v1;;google
цена лида это;commercial;/calculator;0;v1;;google|yandex
цена лидамитол;commercial;/calculator;0;v1;;google
цена лидара;commercial;/calculator;0;v1;;google
google ads стоимость рекламы;commercial;/calculator;0;v1;;google
аудит контекстной рекламы заказать;commercial;/consult;0;v1;;yandex
аудит контекстной рекламы цена;commercial;/consult;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
консультация маркетолога цена;commercial;/consult;0;v1;;yandex|google
консультация таргетолога цена;commercial;/consult;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит консультация маркетолога;commercial;/consult;0;v1;;yandex
ведение контекстной рекламы стоимость;commercial;/google-ads;0;v1;;yandex
ведение контекстной рекламы цена;commercial;/google-ads;0;v1;;yandex
заказать ведение контекстной рекламы;commercial;/google-ads;0;v1;;google|yandex
заказать контекстную рекламу;commercial;/google-ads;0;v1;;yandex
заказать контекстную рекламу для стоматологии;commercial;/google-ads;0;v1;;yandex
заказать контекстную рекламу краснодар;commercial;/google-ads;0;v1;;yandex
заказать контекстную рекламу москва;commercial;/google-ads;0;v1;;yandex
заказать контекстную рекламу под ключ;commercial;/google-ads;0;v1;;yandex
заказать настройку google ads;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
заказать рекламу google ads;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
контекстная реклама в гугл цена;commercial;/google-ads;0;v1;;google
контекстная реклама гугл заказать;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
контекстная реклама гугл цена;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
настройка гугл рекламы цена;commercial;/google-ads;0;v1;;google
настройка контекстной рекламы заказать;commercial;/google-ads;0;v1;;yandex
настройка контекстной рекламы заказать москва;commercial;/google-ads;0;v1;;yandex
настройка контекстной рекламы под ключ;commercial;/google-ads;0;v1;;google|yandex
настройка контекстной рекламы стоимость;commercial;/google-ads;0;v1;;google
настройка контекстной рекламы цена;commercial;/google-ads;0;v1;;yandex|google
настройка рекламы в гугл цена;commercial;/google-ads;0;v1;;google
настройка рекламы гугл цена;commercial;/google-ads;0;v1;;google
настройка google ads цена;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
реклама в гугл цена;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
реклама в гугл цена украина;commercial;/google-ads;1;v1;;google
реклама в гугле стоимость;commercial;/google-ads;0;v1;;yandex
реклама в google ads цена;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит контекстная реклама в гугл;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
специалист по контекстной и таргетированной рекламе;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
специалист по контекстной рекламе;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
специалист по контекстной рекламе без опыта;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
специалист по контекстной рекламе кто это;commercial;/google-ads;0;v1;;yandex
специалист по контекстной рекламе отзывы;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
специалист по контекстной рекламе работа;commercial;/google-ads;0;v1;;google
специалист по контекстной рекламе что делает;commercial;/google-ads;0;v1;;google
специалист по контекстной рекламе это;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
специалист по google ads;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
таргетированная реклама гугл цена;commercial;/google-ads;0;v1;;google
google ads заказать;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
google ads сколько стоит;commercial;/google-ads;0;v1;;google
google ads стоимость;commercial;/google-ads;0;v1;;google|yandex
google ads тарифы;commercial;/google-ads;0;v1;;google
google ads цена;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
google ads цена за клик;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
google ads цена на клик;commercial;/google-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
ведение таргета;commercial;/meta-ads;0;v1;;google
где найти таргетолога;commercial;/meta-ads;0;v1;;yandex
заказать рекламу в инстаграм;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
заказать таргет;commercial;/meta-ads;0;v1;;yandex
заказать таргетированную рекламу;commercial;/meta-ads;0;v1;;yandex
заказать таргетированную рекламу в инстаграм;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
зачем нужен специалист по таргетированной рекламе;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
как заказать рекламу в инстаграме;commercial;/meta-ads;0;v1;;yandex
как заказать рекламу в instagram;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
как найти таргетолога форум;commercial;/meta-ads;0;v1;;google
найти таргетолога;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
найти таргетолога в инстаграм;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
найти таргетолога вк;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
нанять таргетолога;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
настройка и ведение таргетированной рекламы;commercial;/meta-ads;0;v1;;google
настройка рекламы в инстаграм цена;commercial;/meta-ads;0;v1;;google
настройка таргета в вк цена;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
настройка таргетированной рекламы в вк цена;commercial;/meta-ads;0;v1;;yandex
настройка таргетированной рекламы вк цена;commercial;/meta-ads;0;v1;;google
настройка таргетированной рекламы цена;commercial;/meta-ads;0;v1;;yandex
продвижение в инстаграм цена;commercial;/meta-ads;0;v1;;google
реклама в инстаграм беларусь цена;commercial;/meta-ads;1;v1;;yandex
реклама в инстаграм заказать;commercial;/meta-ads;0;v1;;google
реклама в инстаграм рб цена;commercial;/meta-ads;0;v1|base;ae|am|az|de|ge|il|kg|kz|md|tj|ua|uz;google|google-v2
реклама в инстаграм сколько стоит;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
реклама в инстаграм стоимость;commercial;/meta-ads;0;v1;;yandex
реклама в инстаграм у блогеров цена;commercial;/meta-ads;0;v1;;google
реклама в инстаграм цена;commercial;/meta-ads;0;v1;;yandex
реклама в инстаграм цена беларусь;commercial;/meta-ads;1;v1;;google
реклама в инстаграм цена казахстан;commercial;/meta-ads;1;v1;;google
реклама в инстаграм цена ташкент;commercial;/meta-ads;1;v1;;google
реклама в инстаграм цена украина;commercial;/meta-ads;1;v1;;google
реклама в инстаграме сколько стоит;commercial;/meta-ads;0;v1;;google
реклама в инстаграме цена;commercial;/meta-ads;0;v1;;google
реклама в инстаграмме сколько стоит;commercial;/meta-ads;0;v1;;yandex
реклама в фейсбуке цена;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
реклама в фейсбуке цена украина;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
реклама в facebook цена;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
реклама в instagram сколько стоит;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
реклама в instagram цена;commercial;/meta-ads;0;base;uz;google-v2
реклама на фейсбук цена;commercial;/meta-ads;0;v1;;google
сколько стоит запуск рекламы в инстаграм;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит нанять таргетолога;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит отучиться на таргетолога;commercial;/meta-ads;0;base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google-v2
сколько стоит продвижение в инстаграм;commercial;/meta-ads;0;v1;;google
сколько стоит услуга таргетолога;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
специалист по рекламе в инстаграм;commercial;/meta-ads;0;v1;;google
специалист по таргетированной рекламе;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
специалист по таргетированной рекламе и smm;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
таргет для ремонта под ключ;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама в вк стоимость;commercial;/meta-ads;0;v1;;google|yandex
таргетированная реклама в вк цена;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама в инстаграм цена;commercial;/meta-ads;0;v1;;google
таргетированная реклама вк стоимость;commercial;/meta-ads;0;base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google-v2
таргетированная реклама вк цена;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама заказать;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама заказать цена;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама инстаграм услуги;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама инстаграм цена;commercial;/meta-ads;0;v1;;google
таргетированная реклама настройка стоимость;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама сколько стоит;commercial;/meta-ads;0;v1;;google|yandex
таргетированная реклама сколько стоит в месяц;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама стоимость;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама стоимость за месяц;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама услуги;commercial;/meta-ads;0;v1;;google|yandex
таргетированная реклама цена;commercial;/meta-ads;0;v1;;yandex
таргетированная реклама цена украина;commercial;/meta-ads;1;v1;;google
таргетолог алматы услуги;commercial;/meta-ads;1;v1;;yandex
таргетолог вк услуги;commercial;/meta-ads;0;v1;;yandex
таргетолог вк цена;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
таргетолог заказать;commercial;/meta-ads;0;v1;;google
таргетолог инстаграм цена;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
таргетолог киев цена;commercial;/meta-ads;1;base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google-v2
таргетолог минск цена;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
таргетолог найти специалиста;commercial;/meta-ads;0;v1;;yandex
таргетолог нанять;commercial;/meta-ads;0;v1;;google|yandex
таргетолог услуги;commercial;/meta-ads;0;v1;;google|yandex
таргетолог услуги цена;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
таргетолог цена;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
таргетолог цена украина;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
услуги таргетолога алматы;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
услуги таргетолога алматы цена;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога астана;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога бишкек;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога вк;commercial;/meta-ads;0;v1;;yandex
услуги таргетолога минск;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога ташкент;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога украина;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога украина цена;commercial;/meta-ads;1;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога цена;commercial;/meta-ads;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
услуги таргетолога цены;commercial;/meta-ads;0;v1;;yandex
форум как найти таргетолога;commercial;/meta-ads;0;v1;;yandex
цена рекламы в инстаграм;commercial;/meta-ads;0;v1;;yandex
продвижение мобильных приложений цена;commercial;/meta-apps;0;v1;;yandex|google
сколько стоит реклама мобильного приложения;commercial;/meta-apps;0;v1|apps;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
сколько стоит реклама мобильной игры;commercial;/meta-apps;0;v1|apps;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
стоимость установки приложения;commercial;/meta-apps;0;v1;;google
лиды для юристов отзывы;trust;/blog;0;v1|base|niche;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
аудит гугл рекламы;trust;/consult;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|google-v2
аудит контекстной рекламы;trust;/consult;0;v1;;yandex
аудит рекламного кабинета;trust;/consult;0;v1|base;ae|am|az|by|de|ge|il|kg|kz|md|tj|tr|ua|us|uz;google|yandex|google-v2
аудит рекламной кампании;trust;/consult;0;v1;;google|yandex
аудит рекламной кампании пример;trust;/consult;0;v1;;google
аудит рекламной кампании это;trust;/consult;0;v1;;google
аудит рекламных кампаний;trust;/consult;0;v1;;yandex
аудит рекламных кампаний пример;trust;/consult;0;v1;;yandex
